Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is the grade of the child who brought home this survey?,What is the street intersection nearest your home? (Provide the names of two intersecting streets),How far does your child live from school?,"On most days, how does your child get to school?","On most days, how does your child leave school?",How long does it normally take your child to get to school?,How long does it normally take your child to get home from school?,Has your child asked you for your permission to walk or bike from school?,At what grade would you allow your child to walk or bike to/from school without an adult?,Distance as a concern,Convenience of Driving as a concern,Time as a concern, Child's before/after school activities as a concern, Car speeds along route as a concern,Amount of traffic along route as a concern, Adults to walk/bike with as a concern,Sidewalks or pathways as a concern,Safety of intersections and crossings as a concern, Crossing guards as a concern,Violence or crime as a concern,Weather or climate as a concern,Distance as an improvement,Convenience of Drivings as an improvement,Time  as an improvement, Child's before/after school activities as an improvement, Car speeds along route as an improvement,Amount of traffic along route as an improvement, Adults to walk/bike with as an improvement,Sidewalks or pathways as an improvement,Safety of intersections and crossings as an improvement, Crossing guards as an improvement,Violence or crime as an improvement,Weather or climate as an improvement,Do you have any suggestions on how we can make East Los Angeles more pedestrian and bike friendly?
6825181592,173304002,4/13/18 10:39,4/13/18 10:40,74.62.204.86,,,,,6,,Less than 1/4 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,,6,,,,,Car speeds along route,,,,Safety of intersections and crossings,,Violence or crime,,,,,,Car speeds along route,,,,Safety of intersections and crossings,,Violence or crime,,We need more police around schools.
6825178178,173304002,4/13/18 10:38,4/13/18 10:39,74.62.204.86,,,,,6,1st and Sunol,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Walking,11-20 minutes,11-20 minutes,Yes,5,,,,,Car speeds along route,Amount of traffic along route,,,Safety of intersections and crossings,Crossing guards,,,,,,,,,,,Safety of intersections and crossings,Crossing guards,,,
6825174875,173304002,4/13/18 10:37,4/13/18 10:38,74.62.204.86,,,,,6,,2 + miles,Family Vehicle (only children in your family),Walking,11-20 minutes,More than 20 minutes,Yes,7,,,,,,,,,,,,,,Convenience of Driving,,,Car speeds along route,,,,,,Violence or crime,,
6825171697,173304002,4/13/18 10:36,4/13/18 10:37,74.62.204.86,,,,,6,First St. and Gage,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,No,9,Distance,,,,Car speeds along route,,,,,,Violence or crime,,,,,,,,,,,,,,
6825168614,173304002,4/13/18 10:34,4/13/18 10:35,74.62.204.86,,,,,6,Sunol Dr. and 1st,Less than 1/4 of a mile,Walking,Walking,Less than 5 minutes,Less than 5 minutes,Yes,6,,,,,,,,,,,Violence or crime,,,,,,,,,,,,Violence or crime,,They can make more bike ways
6825163388,173304002,4/13/18 10:32,4/13/18 10:33,74.62.204.86,,,,,6,Michigan and Marianna ,Less than 1/4 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,Yes,8,,,,,,,,,,,,,,,,,,,Adults to walk/bike with,Sidewalks or pathways,Safety of intersections and crossings,Crossing guards,Violence or crime,,"More police patrol, speed bumps, and more crossing guards."
6825159559,173304002,4/13/18 10:31,4/13/18 10:32,74.62.204.86,,,,,6,Ceasar Chavez and Eastern ,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Walking,5-10 minutes,5-10 minutes,Yes,7,,,,,Car speeds along route,Amount of traffic along route,,,Safety of intersections and crossings,,Violence or crime,,,,,,,,,,,,,,
6825157101,173304002,4/13/18 10:30,4/13/18 10:31,74.62.204.86,,,,,6,Marengo and Evergreen,1/2-1 mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,5-10 minutes,,9,,,,,,,,,,,,,Distance,,,,,,,,,,,,
6825154655,173304002,4/13/18 10:29,4/13/18 10:30,74.62.204.86,,,,,6,Hazard St and Fisher St,1-2 miles,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,5-10 minutes,No,9,Distance,,,,Car speeds along route,,,Sidewalks or pathways,,,,,,,,,,,,,,,,,
6825151412,173304002,4/13/18 10:28,4/13/18 10:29,74.62.204.86,,,,,3,3rd and Gage,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,No,8,,,,,,,,,,,,,,,,,,,Adults to walk/bike with,,,Crossing guards,Violence or crime,Weather or climate,
6825148783,173304002,4/13/18 10:27,4/13/18 10:28,74.62.204.86,,,,,3,Olympic Ave and Rowan Ave,1/2-1 mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,5-10 minutes,No,8,,,,,,,,,,,,,Distance,,,,,,,,Safety of intersections and crossings,,,,
6825146021,173304002,4/13/18 10:24,4/13/18 10:27,74.62.204.86,,,,,3,Zaring and Eastern ,Less than 1/4 of a mile,Walking,Walking,Less than 5 minutes,Less than 5 minutes,Yes,3,,,,,Car speeds along route,Amount of traffic along route,,,,Crossing guards,Violence or crime,Weather or climate,,,,,Car speeds along route,Amount of traffic along route,,,Safety of intersections and crossings,,Violence or crime,,"We are across the street from school which is why I allow him to walk to school with supervision from an adult when he is crossing the street, otherwise I wouldn't allow him to walk along to school. That is why I filled out both scenarios."
6825139455,173304002,4/13/18 10:22,4/13/18 10:24,74.62.204.86,,,,,3,1st Ave. and Sunol  Dr.,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,No,6,,,,,,,,,,,,,,,,,,,Adults to walk/bike with,,,,,,I love the idea of an adult/adults to walk with students. Maybe have an adult walk them to the park (Obregon Park)
6825133733,173304002,4/13/18 10:21,4/13/18 10:22,74.62.204.86,,,,,3,Gifford Ave and Ceasar Chavez,1/4 to 1/2 of a mile,Carpool (children from other families),Carpool (children from other families),5-10 minutes,5-10 minutes,No,6,,,,,,,,,,,,,,,,,Car speeds along route,Amount of traffic along route,,,,,,,
6825130334,173304002,4/13/18 10:19,4/13/18 10:21,74.62.204.86,,,,,3,3rd. St. and Eastern ,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,,No,-1,,,,,,,,,,,,,,,,,,,,,,,,,Having more safety guards in al intersections
6825125751,173304002,4/13/18 10:18,4/13/18 10:19,74.62.204.86,,,,,3,San Carlos St. and Sunol St,I do not know,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,Less than 5 minutes,No,-1,,,,,Car speeds along route,Amount of traffic along route,,,,,Violence or crime,,,,,,Car speeds along route,,,,Safety of intersections and crossings,,Violence or crime,,
6825121051,173304002,4/13/18 10:16,4/13/18 10:18,74.62.204.86,,,,,3,Ceasar Chavez and Eastern ,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,Yes,-1,,,,,,,,,,,,,,,,,,,Adults to walk/bike with,,Safety of intersections and crossings,Crossing guards,Violence or crime,Weather or climate,"Gang activity at the park and surrounding blocks. Not enough police patrol, a lot of shootings. More police patrol/safety."
6825115885,173304002,4/13/18 10:14,4/13/18 10:16,74.62.204.86,,,,,3,eastern and marianna ,Less than 1/4 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,5-10 minutes,,-1,,,,,,,,,,,,,,,,,,,,,,Crossing guards,,,More crossing guards around school and intersections
6825111673,173304002,4/13/18 10:07,4/13/18 10:14,74.62.204.86,,,,,6,Ceasar Chavez ave. and San Carlos St. ,,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,Yes,-1,,,,,Car speeds along route,Amount of traffic along route,,,,,,,,,,,Car speeds along route,Amount of traffic along route,,,Safety of intersections and crossings,Crossing guards,Violence or crime,Weather or climate,Yes have more crossing guards and crosswalks
6820293686,173186944,4/11/18 15:00,4/11/18 15:02,74.62.204.86,,,,,6,Hazard and Cesar Chavez,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Walking,5-10 minutes,More than 20 minutes,No,6,,,,,Car speeds along route,Amount of traffic along route,,,Safety of intersections and crossings,Crossing guards,Violence or crime,,,,,,,,,,,,,,More crossing guards and to put traffic light on 1st and Marianna.
6971700282,175219463,1/2/19 21:32,1/2/19 21:34,147.21.8.1,,,,,TK,Eastman and 1st Street,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,Tiempo,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,,,,,,,,,,,,,,,Que hayan mas presencia policial para o personal de seguridad en las intersecciones para sentirme con mas seguridad peatonal.
6971700113,175219463,1/2/19 21:31,1/2/19 21:32,147.21.8.1,,,,,K,Rowan and 1st St,1/4-1/2 milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,7,,,,,,,,,,,,,,,,,,,,,,,,,
6971700039,175219463,1/2/19 21:30,1/2/19 21:31,147.21.8.1,,,,,3,1st and Rowan,1/2-1 milla,Caminando,Caminando,5 to 10 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,Distancia,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,Clima,,,,,,,,,,,,,
6971699915,175219463,1/2/19 21:29,1/2/19 21:30,147.21.8.1,,,,,4,Cesar Chavez and Dangler,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,
6971699791,175219463,1/2/19 21:27,1/2/19 21:28,147.21.8.1,,,,,4,Ford and Cesar Chavez,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,Cantidad de trafico en la ruta,,,,,,,,,,,,Cantidad de trafico en la ruta,,,,,,,By having sidewalks and having 1 lane only for bikes/bike lanes.
6971699675,175219463,1/2/19 21:26,1/2/19 21:27,147.21.8.1,,,,,4,Whittier and Redman,2+ millas,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Mas de 20 minutos,Mas de 20 minutos,No,No me sentiria comodo/a en ningun grado,Distancia,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,,,,,,,Violencia o crimen,,More police patrol.
6971699575,175219463,1/2/19 21:25,1/2/19 21:26,147.21.8.1,,,,,4,Mednik and Dozier,1/4-1/2 milla,Caminando,Caminando,Menos de 5 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,Violencia o crimen,,More crossing guards on both ends of school corners. 
6971699461,175219463,1/2/19 21:24,1/2/19 21:25,147.21.8.1,,,,,4,3rd St and McDonnell Ave,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,It will be nice if they put bumps on streets for cars to go slower and no speeding. 
6971699366,175219463,1/2/19 21:22,1/2/19 21:23,147.21.8.1,,,,,4,Eugene and McDonnell,1/2-1 milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,5,,,,,,,,,,,,,,,,,,,,,,,,,Que haiga mas personas para el cruze en calles. 
6971699255,175219463,1/2/19 21:21,1/2/19 21:22,147.21.8.1,,,,,4,Mednik and Cesar Chavez,1/4-1/2 milla,Caminando,Caminando,5 to 10 minutos,,,7th,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,
6971699137,175219463,1/2/19 21:20,1/2/19 21:21,147.21.8.1,,,,,4,Cesar Chavez and Dangler,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,5th,,,,,,,,,,,,,,,,,,,Ninos acompanados por adultos,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,
6971699056,175219463,1/2/19 21:19,1/2/19 21:20,147.21.8.1,,,,,4,Brannick Ave and Floral Dr,2+ millas,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),11 to 20 minutos,11 to 20 minutos,,9th,Distancia,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,,,,,,,,,No people drive like they own the road and only they matter. 
6971698930,175219463,1/2/19 21:18,1/2/19 21:19,147.21.8.1,,,,,4,McDonnell Ave and Cesar E Chavez Ave,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,5th/6th,,,,,,,,,,,,,,,,,,,,,,,,,
6971698843,175219463,1/2/19 21:17,1/2/19 21:18,147.21.8.1,,,,,4,Eagle St and Arizona,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,7,Distancia,,Tiempo,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,,,,,,,,,
6971698757,175219463,1/2/19 21:16,1/2/19 21:17,147.21.8.1,,,,,4,Dangler and Hammal St,Menos de 1/4 de milla,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,8,,,,,,,Ninos acompanados por adultos,,,,,,,,,,,,,,,,,,No everything is fine.
6971698659,175219463,1/2/19 21:13,1/2/19 21:16,147.21.8.1,,,,,4,(N) Eastern and (E) Cesar E Chavez Ave,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,5 to 10 minutos,Yes,8-Apr,Distancia,Conveniencia de manejar,Tiempo,Actividades antes/despues de la escuela,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,Aceras o caminos,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,Clima,,,,,,,,,,,,,Have more police officers before and after school patrolling to prevent crazy people from speeding when kids go home. 
6971698617,175219499,1/2/19 21:15,1/2/19 21:15,173.164.210.33,,,,,2,1st and Ditman,,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971698531,175219499,1/2/19 21:13,1/2/19 21:14,173.164.210.33,,,,,1,Velazco and 2nd,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,11 to 20 minutos,Yes,7,,,,,,,,,,,,,Distancia,,,,,,Ninos acompanados por adultos,,,,Violencia o crimen,,
6971698404,175219463,1/2/19 21:12,1/2/19 21:13,147.21.8.1,,,,,4,Cesar Chavez and 1st Street,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,Cantidad de trafico en la ruta,,,,,,Clima,,,,,,Cantidad de trafico en la ruta,,,,Guardias de cruce peatonal,,,More crossing guards
6971698400,175219499,1/2/19 21:13,1/2/19 21:13,173.164.210.33,,,,,1,Downey and Olympic,Menos de 1/4 de milla,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,,,,,,,,,
6971698295,175219499,1/2/19 21:09,1/2/19 21:12,173.164.210.33,,,,,1 and 3,Downey and Olympic,No se,Vehiculo familiar (solo con ninos de la familia),Caminando,5 to 10 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,,Ninos acompanados por adultos,,,Guardias de cruce peatonal,Violencia o crimen,,Queremos mas vigilancia de la policia durante la entrada y salida de escuela
6971698290,175219463,1/2/19 21:11,1/2/19 21:12,147.21.8.1,,,,,4,2nd St and McDonnell,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,Actividades antes/despues de la escuela,,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,Clima,,,,,,,,,,,,,No
6971698163,175219463,1/2/19 21:10,1/2/19 21:11,147.21.8.1,,,,,4,Cesar Chavez and Floral,1/2-1 milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,Mas de 20 minutos,No,8,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,
6971698065,175219463,1/2/19 21:09,1/2/19 21:10,147.21.8.1,,,,,4,Eastern and Cesar Chavez,1-2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,4,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,,,
6971697999,175219499,1/2/19 21:08,1/2/19 21:09,173.164.210.33,,,,,1,,,Caminando,Caminando,11 to 20 minutos,Mas de 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,Actividades antes/despues de la escuela,,,,,,,,,,,,,Velocidad del trafico en la ruta,,,,,,,,
6971697968,175219463,1/2/19 21:08,1/2/19 21:09,147.21.8.1,,,,,4,Dangler and Brooklyn,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,Clima,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,,
6971697917,175219499,1/2/19 21:07,1/2/19 21:08,173.164.210.33,,,,,Kinder,,No se,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,,,
6971697880,175219463,1/2/19 21:06,1/2/19 21:08,147.21.8.1,,,,,4,Cesar Chavez and Eastern,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,,Clima,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,,,,,The way the adults drive they don't care sometimes when there are kids around. Too dangerous.
6971697862,175219499,1/2/19 21:06,1/2/19 21:07,173.164.210.33,,,,,Kinder,Whittie and Denison,,Caminando,Caminando,11 to 20 minutos,11 to 20 minutos,No,12,,,,,,,,,,,,,,,,,,,Ninos acompanados por adultos,,,,,,
6971697754,175219463,1/2/19 21:05,1/2/19 21:06,147.21.8.1,,,,,4,Cesar Chavez Ave and Ford,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,5 to 10 minutos,No,6,,,,,,,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,,,,,,,,,,,,,
6971697750,175219499,1/2/19 21:03,1/2/19 21:06,173.164.210.33,,,,,5,Downey and Olympic,1-2 milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,No se/No estoy seguro/a,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,,Clima,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,,,,"Via peatonal Eastman y Olympic, y anuncios de estacionamiento 15 min. que esta Gage y Olympic"
6971697640,175219463,1/2/19 21:04,1/2/19 21:05,147.21.8.1,,,,,4,Fisher and Dangler,1/4-1/2 milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),5 to 10 minutos,,No,6,,,,,,,,,,,,,,,,,,,Ninos acompanados por adultos,,,,,,
6971697518,175219463,1/2/19 20:49,1/2/19 21:04,147.21.8.1,,,,,4,McDonnell and Michigan,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Caminando,Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,Velocidad del trafico en la ruta,,,,Seguridad de las intersecciones y cruces,,Violencia o crimen,,,,,,,,,,,,,,Just more crossing guards. 
6971697413,175219499,1/2/19 21:01,1/2/19 21:03,173.164.210.33,,,,,5,Union Pacific and Downey Rd,No se,Caminando,Caminando,5 to 10 minutos,5 to 10 minutos,No,10,Distancia,,,,Velocidad del trafico en la ruta,,,,,,Violencia o crimen,,,,,,,,,,,,,,Mas presencia de policia. Mas luz por las tarde -- noche.
6971697379,175219463,1/2/19 21:00,1/2/19 21:02,147.21.8.1,,,,,4,McDonnell and New York,Menos de 1/4 de milla,Caminando,Caminando,Menos de 5 minutos,Menos de 5 minutos,No,7,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,,,,,,,,,,,,,Tratar de respetar tanto conductores como peatones los senalamientos y tratar de llevarse bien con la comunidad.
6971697106,175219499,1/2/19 20:57,1/2/19 21:00,173.164.210.33,,,,,1 and k,Marana y Tuttle y Sunol y Tuttle,Menos de 1/4 de milla,Caminando,,11 to 20 minutos,11 to 20 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,Distancia,,Tiempo,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,Ninos acompanados por adultos,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,Violencia o crimen,Clima,Mas policias patruyando en las calles cercanas ala escuela
6971697063,175219463,1/2/19 20:59,1/2/19 20:59,147.21.8.1,,,,,4,Fisher and Dangler,Menos de 1/4 de milla,Vehiculo familiar (solo con ninos de la familia),Vehiculo familiar (solo con ninos de la familia),Menos de 5 minutos,Menos de 5 minutos,No,No me sentiria comodo/a en ningun grado,,,,,,,,,,,,,,,,,Velocidad del trafico en la ruta,Cantidad de trafico en la ruta,,,Seguridad de las intersecciones y cruces,Guardias de cruce peatonal,,,
