Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What grade are you in?,,How did you got to school this morning? (Check all that apply),,,,,,,Who brought you to school this morning? (Check all that apply),,,,,Do you think walking and biking to school is? (Check all that apply,,,,,,Have you ever heard of the following? (Check all that apply),,,
6820159030,173176001,04/11/2018 02:04:10 PM,04/11/2018 02:04:33 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,,"""Scan, signal, scan"""
6820157942,173176001,04/11/2018 02:03:51 PM,04/11/2018 02:04:05 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820156936,173176001,04/11/2018 02:03:23 PM,04/11/2018 02:03:42 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820155853,173176001,04/11/2018 02:03:03 PM,04/11/2018 02:03:17 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,,
6820154997,173176001,04/11/2018 02:02:41 PM,04/11/2018 02:02:56 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820139188,173176001,04/11/2018 01:55:20 PM,04/11/2018 02:02:30 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820136116,173176001,04/11/2018 01:54:50 PM,04/11/2018 01:55:13 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820131771,173176001,04/11/2018 01:53:05 PM,04/11/2018 01:53:31 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820130348,173176001,04/11/2018 01:52:23 PM,04/11/2018 01:52:58 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,,Came alone,,,Healthy,,,,,"""Stop, look, listen""",,,
6820128725,173176001,04/11/2018 01:52:00 PM,04/11/2018 01:52:18 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,,"""Scan, signal, scan"""
6820127752,173176001,04/11/2018 01:51:33 PM,04/11/2018 01:51:54 PM,74.62.204.86,,,,,6,,Walking,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,,,,"""Stop, look, listen""",,,
6820126472,173176001,04/11/2018 01:51:01 PM,04/11/2018 01:51:24 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,,,,,Takes too long,"""Stop, look, listen""",,,
6820124843,173176001,04/11/2018 01:50:26 PM,04/11/2018 01:50:57 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,,,cousin,,Healthy,,,,,"""Stop, look, listen""",,,
6820123663,173176001,04/11/2018 01:49:59 PM,04/11/2018 01:50:19 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,,Came alone,,,,Good for me,,,,"""Stop, look, listen""",,,
6820122459,173176001,04/11/2018 01:49:34 PM,04/11/2018 01:49:52 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820121502,173176001,04/11/2018 01:49:14 PM,04/11/2018 01:49:29 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,,Came alone,,,Healthy,,,,,"""Stop, look, listen""",,,
6820120587,173176001,04/11/2018 01:48:42 PM,04/11/2018 01:49:07 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820119108,173176001,04/11/2018 01:48:13 PM,04/11/2018 01:48:30 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820118007,173176001,04/11/2018 01:47:45 PM,04/11/2018 01:48:05 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820116905,173176001,04/11/2018 01:47:22 PM,04/11/2018 01:47:39 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820115947,173176001,04/11/2018 01:47:00 PM,04/11/2018 01:47:15 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820114957,173176001,04/11/2018 01:46:36 PM,04/11/2018 01:46:52 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820113712,173176001,04/11/2018 01:46:05 PM,04/11/2018 01:46:24 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,,,,"""Stop, look, listen""",,,
6820112739,173176001,04/11/2018 01:45:38 PM,04/11/2018 01:46:00 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820111613,173176001,04/11/2018 01:45:11 PM,04/11/2018 01:45:33 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,Good for me,Scary,,,,,,"""Scan, signal, scan"""
6820110530,173176001,04/11/2018 01:44:45 PM,04/11/2018 01:45:06 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,Scary,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820109546,173176001,04/11/2018 01:44:16 PM,04/11/2018 01:44:43 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,Good for me,Scary,Tiring,,"""Stop, look, listen""",,,
6820108215,173176001,04/11/2018 01:43:46 PM,04/11/2018 01:44:10 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,,,,,"""Stop, look, listen""",,"""Left, right left again""","""Scan, signal, scan"""
6820106971,173176001,04/11/2018 01:43:23 PM,04/11/2018 01:43:40 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820106086,173176001,04/11/2018 01:42:52 PM,04/11/2018 01:43:18 PM,74.62.204.86,,,,,6,,Walking,Car,,,,,,Parent/Grandparent,,,,,,Healthy,Good for me,,,,"""Stop, look, listen""",,"""Left, right left again""",
6820104666,173176001,04/11/2018 01:42:06 PM,04/11/2018 01:42:45 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,Friend/s,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820102777,173176001,04/11/2018 01:41:33 PM,04/11/2018 01:42:00 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820101484,173176001,04/11/2018 01:41:08 PM,04/11/2018 01:41:28 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820100385,173176001,04/11/2018 01:40:39 PM,04/11/2018 01:41:01 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820099323,173176001,04/11/2018 01:40:11 PM,04/11/2018 01:40:37 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,Came alone,,Fun,,Good for me,,,,"""Stop, look, listen""",,,
6820097953,173176001,04/11/2018 01:39:41 PM,04/11/2018 01:40:03 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820096738,173176001,04/11/2018 01:39:14 PM,04/11/2018 01:39:34 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,,,,"""Stop, look, listen""",,,
6820095573,173176001,04/11/2018 01:38:43 PM,04/11/2018 01:39:07 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820094358,173176001,04/11/2018 01:38:18 PM,04/11/2018 01:38:38 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,,,,"""Stop, look, listen""",,,
6820093201,173176001,04/11/2018 01:37:48 PM,04/11/2018 01:38:10 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,Good for me,,,,"""Stop, look, listen""",,,
6820091986,173176001,04/11/2018 01:37:08 PM,04/11/2018 01:37:43 PM,74.62.204.86,,,,,6,,,,,,,,not specified,Parent/Grandparent,,,,,Fun,,,,,,,,,"""Scan, signal, scan"""
6820089424,173176001,04/11/2018 01:36:23 PM,04/11/2018 01:36:46 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,,,,,"""Stop, look, listen""",,,
6820087989,173176001,04/11/2018 01:35:22 PM,04/11/2018 01:36:14 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820085523,173176001,04/11/2018 01:35:04 PM,04/11/2018 01:35:20 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,"""Left, right left again""",
6820084495,173176001,04/11/2018 01:34:41 PM,04/11/2018 01:34:55 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820083484,173176001,04/11/2018 01:34:16 PM,04/11/2018 01:34:32 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,,"""Scan, signal, scan"""
6820082543,173176001,04/11/2018 01:33:49 PM,04/11/2018 01:34:10 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,,,Tiring,,"""Stop, look, listen""","""Always wear a helmet""",,"""Scan, signal, scan"""
6820081158,173176001,04/11/2018 01:33:18 PM,04/11/2018 01:33:38 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,,,,Tiring,Takes too long,"""Stop, look, listen""",,,
6820079994,173176001,04/11/2018 01:32:53 PM,04/11/2018 01:33:10 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,"""Scan, signal, scan"""
6820078886,173176001,04/11/2018 01:32:28 PM,04/11/2018 01:32:46 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,Scary,,Takes too long,,,,
6820077725,173176001,04/11/2018 01:32:05 PM,04/11/2018 01:32:22 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820076621,173176001,04/11/2018 01:31:43 PM,04/11/2018 01:31:57 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820074697,173176001,04/11/2018 01:30:57 PM,04/11/2018 01:31:38 PM,74.62.204.86,,,,,3,,,,,,,,not specified,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820073383,173176001,04/11/2018 01:30:25 PM,04/11/2018 01:30:42 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,,,,,,,,,
6820072274,173176001,04/11/2018 01:30:02 PM,04/11/2018 01:30:18 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,,,Scary,,,"""Stop, look, listen""",,,
6820071440,173176001,04/11/2018 01:29:30 PM,04/11/2018 01:29:59 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820069813,173176001,04/11/2018 01:28:59 PM,04/11/2018 01:29:22 PM,74.62.204.86,,,,,3,,Walking,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,,,
6820068310,173176001,04/11/2018 01:28:34 PM,04/11/2018 01:28:49 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820067419,173176001,04/11/2018 01:28:07 PM,04/11/2018 01:28:27 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""",,,
6820066337,173176001,04/11/2018 01:27:46 PM,04/11/2018 01:28:01 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,,,,,,Takes too long,"""Stop, look, listen""",,,
6820064554,173176001,04/11/2018 01:27:06 PM,04/11/2018 01:27:20 PM,74.62.204.86,,,,,3,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,,
